"metric","metric_label","model_id","model_alias","pareto_rank","line_id","cell_line","parameter","parameter_label","baseline_metric","elevated_metric","metric_delta","baseline_parameter","elevated_parameter","log2_elevated_vs_baseline","fit_id","best_start"
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,3,"SNU668","ae[1]","v1",0,1,1,6.98706463548228e-05,0.000102941593947384,0.559067635082859,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,3,"SNU668","ah[1]","K1",0,1,1,0.0253254135314364,0.0300619883741581,0.247354609249792,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,3,"SNU668","Y_R[1]","y1",0,1,1,706.579289724217,439.177460632813,-0.686047448993229,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,3,"SNU668","m","m",0,1,1,0.047430612018787,0.0440887977728416,-0.105406346659274,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,4,"SUM-159-chem","ae[1]","v1",0,1,1,6.98716699672899e-05,0.000102943102052782,0.559067635082856,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,4,"SUM-159-chem","ah[1]","K1",0,1,1,0.127472981072154,0.151314065227547,0.247354609249792,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,4,"SUM-159-chem","Y_R[1]","y1",0,1,1,565.000620703668,351.178617127951,-0.686047448993229,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,4,"SUM-159-chem","m","m",0,1,1,0.0355824217707323,0.0330753943697033,-0.105406346659274,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,5,"SUM-159-fuse","ae[1]","v1",0,1,1,4.30573080334825e-05,6.34370533448519e-05,0.559067635082857,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,5,"SUM-159-fuse","ah[1]","K1",0,1,1,0.0356149993429681,0.0422760202855109,0.247354609249792,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,5,"SUM-159-fuse","Y_R[1]","y1",0,1,1,1984.77125506192,1233.64329016113,-0.686047448993229,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_1P_0W_C0_M1","2R(a)",3,5,"SUM-159-fuse","m","m",0,1,1,0.115764836913275,0.107608404501585,-0.105406346659274,"all_lines__2r_1p_0w_c0_m1",35
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,1,"MCF10A","ae[1]","v1",0,1,1,6.2784892129251e-05,9.52437879342557e-05,0.601207552576865,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,1,"MCF10A","ah[1]","K1",0,1,1,0.443675295736776,0.542899171030733,0.291180056213971,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,1,"MCF10A","Y_R[1]","y1",0,1,1,21323.2157559515,19114.142875969,-0.157784519748965,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,1,"MCF10A","m","m",0,1,1,0.0437042350553731,0.0164511145617224,-1.40958775769774,"all_lines__2r_2p_0w_c0_m1",113
"ploidy","Ploidy","2R_2P_0W_C0_M1","2R(f)",4,2,"MDA-MB-231","ae[1]","v1",0,0.33,0.33,7.05388606847952e-05,8.09379756749811e-05,0.198398492350366,"all_lines__2r_2p_0w_c0_m1",113
