"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-fuse",0.1,-4.09177999999997,4,"0.10"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-fuse",0.1,-8.79200999999995,4,"0.10"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MCF10A",0.25,-13.1534800000001,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MCF10A",0.25,-7.62272000000002,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MCF10A",0.25,-16.51473,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MCF10A",0.25,-17.96952,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MCF10A",0.25,-25.66292,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MCF10A",0.25,25.71312,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MCF10A",0.25,32.12045,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MCF10A",0.25,20.30643,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MCF10A",0.25,21.83098,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MCF10A",0.25,16.83281,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MDA-MB-231",0.25,-4.81946999999997,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MDA-MB-231",0.25,2.80968999999999,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MDA-MB-231",0.25,-4.17396999999994,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MDA-MB-231",0.25,-22.589,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MDA-MB-231",0.25,-21.38102,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MDA-MB-231",0.25,8.56061999999997,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MDA-MB-231",0.25,9.02380999999997,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MDA-MB-231",0.25,4.43894000000006,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MDA-MB-231",0.25,1.67284000000001,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MDA-MB-231",0.25,7.71325999999999,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SNU668",0.25,-0.545819999999992,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SNU668",0.25,-8.75263000000001,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SNU668",0.25,-2.92980999999997,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SNU668",0.25,2.63664999999992,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SNU668",0.25,5.39431000000002,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SNU668",0.25,-3.44570999999996,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SNU668",0.25,-9.56700999999998,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SNU668",0.25,-1.37168000000003,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SNU668",0.25,-2.10258000000005,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SNU668",0.25,-0.412900000000036,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-chem",0.25,9.00797999999998,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-chem",0.25,7.03200000000004,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-chem",0.25,-9.07423,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-chem",0.25,-4.67478999999997,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-chem",0.25,-5.98815999999994,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-chem",0.25,11.74935,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-chem",0.25,10.5283600000001,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-chem",0.25,-8.70829000000003,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-chem",0.25,-3.8537,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-chem",0.25,2.30964000000006,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-fuse",0.25,-9.74669000000006,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-fuse",0.25,-12.04159,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-fuse",0.25,9.51218000000006,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-fuse",0.25,3.53194999999999,2,"0.25"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-fuse",0.25,2.35205999999999,2,"0.25"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-fuse",0.25,-5.8278600000001,2,"0.25"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-fuse",0.25,-8.50384999999994,2,"0.25"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-fuse",0.25,12.00557,2,"0.25"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-fuse",0.25,3.15720999999991,2,"0.25"
