context,assay,image_key,ploidy_state,G0_mM,hours,position,n_cells,image_median_bg_z,pair_id
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C10_2_01d08h00m,high,0.5,32,2,432,0.484541622612539,I00 fuse|0.5|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C11_2_01d08h00m,high,1,32,2,520,0.377860176243154,I00 fuse|1|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C3_2_01d08h00m,low,0.1,32,2,261,0.705059349467157,I00 fuse|0.1|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C4_2_01d08h00m,low,0.25,32,2,274,0.650557344473343,I00 fuse|0.25|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C5_2_01d08h00m,low,0.5,32,2,292,0.568183449970967,I00 fuse|0.5|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C6_2_01d08h00m,low,1,32,2,304,0.731775081758932,I00 fuse|1|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C8_2_01d08h00m,high,0.1,32,2,246,0.497119977877198,I00 fuse|0.1|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_C9_2_01d08h00m,high,0.25,32,2,403,0.380295979286354,I00 fuse|0.25|32|2
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D10_3_01d08h00m,high,0.5,32,3,483,0.396619244346484,I00 fuse|0.5|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D11_3_01d08h00m,high,1,32,3,521,0.435871157178705,I00 fuse|1|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D3_3_01d08h00m,low,0.1,32,3,332,0.849037042580064,I00 fuse|0.1|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D4_3_01d08h00m,low,0.25,32,3,277,0.499443446966465,I00 fuse|0.25|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D5_3_01d08h00m,low,0.5,32,3,323,0.688709519669301,I00 fuse|0.5|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D6_3_01d08h00m,low,1,32,3,448,0.726930242188851,I00 fuse|1|32|3
I00 fuse,I00 monoculture,SUM-159_I00-IncucyteRawDataLiveDead-varyGlucose_D8_3_01d08h00m,high,0.1,32,3,351,0.487908942497848,I00 fuse|0.1|32|3
