context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,8,0.661988188811801,0.375850447202651,30,25,-0.28613774160915
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,9,0.576511282577544,0.495181877067567,42,27,-0.0813294055099767
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|2,10,0.387022767120715,0.316186172166782,27,32,-0.0708365949539324
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,1,1.18458057981492,0.70529246368534,16,23,-0.479288116129581
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,2,0.910428149876646,0.60900038225917,22,35,-0.301427767617476
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,3,1.09268994454669,0.537907035337661,32,29,-0.554782909209031
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,4,0.93623782813816,0.550499819466318,34,27,-0.385738008671842
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,5,0.931428369540583,0.571292249859046,37,35,-0.360136119681536
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,6,0.987207457371371,0.461491598655458,39,36,-0.525715858715913
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,7,0.820800485225791,0.46490311963455,27,35,-0.35589736559124
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,8,0.804902839766314,0.354944473462805,52,44,-0.449958366303509
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,9,0.679896785858459,0.45456176380213,30,40,-0.225335022056329
I00 fuse,I00 monoculture,0.1,32,I00 fuse|0.1|32|3,10,0.649838038786835,0.464556408454428,43,47,-0.185281630332407
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,1,1.03204587057094,0.978972202050651,11,47,-0.0530736685202849
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,2,1.14592696272193,0.523750143780377,10,44,-0.622176818941556
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,3,0.850205057798185,0.442429207978344,15,46,-0.407775849819841
I00 fuse,I00 monoculture,0.25,32,I00 fuse|0.25|32|2,4,0.611413009617643,0.349817095803041,17,38,-0.261595913814602
