context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
C00 fuse,5,64,low,19226,1420.5,788,2494.5,203,132,303,SUM-159-fuse C00,5 mM
C00 fuse,5,72,low,23744,1213,666,2172,188,123,284,SUM-159-fuse C00,5 mM
C00 fuse,5,80,low,29361,991,539,1812,171,112,257,SUM-159-fuse C00,5 mM
C00 fuse,5,88,low,35502,816,441,1514,158,104,238,SUM-159-fuse C00,5 mM
C00 fuse,5,96,low,36224,764,409,1459,159,109,238,SUM-159-fuse C00,5 mM
C00 fuse,5,104,low,32399,761,405,1471,154,104,231,SUM-159-fuse C00,5 mM
C00 fuse,5,112,low,11824,592,259,1470,105,52,202,SUM-159-fuse C00,5 mM
C00 fuse,5,120,low,4743,405,226,872,74,46,136,SUM-159-fuse C00,5 mM
C00 fuse,5,128,low,3704,371,220.3,671,69,44,120,SUM-159-fuse C00,5 mM
C00 fuse,5,136,low,3223,375,223,667,72,48,124,SUM-159-fuse C00,5 mM
C00 fuse,5,144,low,2540,368,226,637,75,48,129,SUM-159-fuse C00,5 mM
C00 fuse,25,8,low,3263,925,555,1660.8,148,105,226,SUM-159-fuse C00,25 mM
C00 fuse,25,16,low,4704,1429,832,2282,173,121,254,SUM-159-fuse C00,25 mM
C00 fuse,25,24,low,5481,1789,1037,2833,205,138,297,SUM-159-fuse C00,25 mM
C00 fuse,25,32,low,6942,1839.5,989,3121.9,218,140,322,SUM-159-fuse C00,25 mM
C00 fuse,25,40,low,8707,1827,1020,3026.4,222,144,333,SUM-159-fuse C00,25 mM
C00 fuse,25,48,low,10752,1795,992,3022,223,145,331,SUM-159-fuse C00,25 mM
C00 fuse,25,56,low,13476,1645,905,2855,215,139,320,SUM-159-fuse C00,25 mM
C00 fuse,25,64,low,16491,1507,827,2652,207,135,316,SUM-159-fuse C00,25 mM
C00 fuse,25,72,low,19933,1328,704,2413,194,126,293.799999999999,SUM-159-fuse C00,25 mM
C00 fuse,25,80,low,24264,1142,598,2133,180,117,275,SUM-159-fuse C00,25 mM
C00 fuse,25,88,low,28748,966,494,1873,169,108,257,SUM-159-fuse C00,25 mM
C00 fuse,25,96,low,34640,797,406,1596,157,99,241,SUM-159-fuse C00,25 mM
C00 fuse,25,104,low,40459,660,346,1334,147,93,225,SUM-159-fuse C00,25 mM
C00 fuse,25,112,low,44451,559,307,1137,138,86,214,SUM-159-fuse C00,25 mM
C00 fuse,25,120,low,47201,484,278,978,130,82,204,SUM-159-fuse C00,25 mM
C00 fuse,25,128,low,47052,443,264,858,126,79,201,SUM-159-fuse C00,25 mM
C00 fuse,25,136,low,43630,410,252,783,121,75,195,SUM-159-fuse C00,25 mM
C00 fuse,25,144,low,39664,393,244,734,117,70,191,SUM-159-fuse C00,25 mM
C00 fuse,0.1,8,high,3474,1067,630,1781.4,169,123,251,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,16,high,4459,1419,815,2246,183,136,265,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,24,high,4664,1534,860.3,2516,199,145,281,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,32,high,4713,1515,813,2578.8,211,149,299,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,40,high,4226,1374,735.5,2440.5,216,152,313,SUM-159-fuse C00,★ 0.1 mM
C00 fuse,0.1,48,high,2671,1149,620,2228,209,141,302,SUM-159-fuse C00,★ 0.1 mM
