context,G0_mM,ploidy_state,n_cells,bin_left_px,bin_right_px,metric,fraction_cells,median_px
C00 fuse,0.5,high,425,3268.02758941013,3727.59372031494,cell,0.0139586823003908,1398
C00 fuse,0.5,high,121,4251.78630338289,4849.6934285282,cell,0.00397411896081716,1398
C00 fuse,0.5,high,275,3727.59372031494,4251.78630338289,cell,0.00903208854731172,1398
C00 fuse,0.5,high,28,5531.68119761723,6309.57344480193,cell,0.000919630833908103,1398
C00 fuse,0.5,high,10,180.776867696343,206.198600950222,cell,0.000328439583538608,1398
C00 fuse,0.5,high,19,206.198600950222,235.195263507096,cell,0.000624035208723355,1398
C00 fuse,0.5,high,41,4849.6934285282,5531.68119761723,cell,0.00134660229250829,1398
C00 fuse,0.5,high,8,158.489319246111,180.776867696343,cell,0.000262751666830886,1398
C00 fuse,0.5,high,29,235.195263507096,268.269579527973,cell,0.000952474792261963,1398
C00 fuse,0.5,high,12,6309.57344480193,7196.85673001152,cell,0.00039412750024633,1398
C00 fuse,0.5,high,2,138.949549437314,158.489319246111,cell,6.56879167077216e-05,1398
C00 fuse,1,high,3933,1692.66661503788,1930.69772888325,cell,0.0931129998342764,1322
C00 fuse,1,high,2554,768.624610039774,876.712387296869,cell,0.0604654466251569,1322
C00 fuse,1,high,4117,1000,1140.62492385132,cell,0.0974691635692133,1322
C00 fuse,1,high,1333,590.783791158794,673.862716803094,cell,0.0315585122753853,1322
C00 fuse,1,high,4692,1483.98178896756,1692.66661503788,cell,0.111082175240891,1322
C00 fuse,1,high,615,454.090961097248,517.947467923121,cell,0.0145600037879685,1322
C00 fuse,1,high,112,305.99496872072,349.025487895958,cell,0.00265157792561377,1322
C00 fuse,1,high,365,398.107170553497,454.090961097248,cell,0.00864130306115202,1322
C00 fuse,1,high,5074,1301.02521691083,1483.98178896756,cell,0.120125949951467,1322
C00 fuse,1,high,4852,1140.62492385132,1301.02521691083,cell,0.114870143706054,1322
C00 fuse,1,high,1313,2511.88643150958,2865.12026966378,cell,0.03108501621724,1322
C00 fuse,1,high,3357,876.712387296869,1000,cell,0.0794763133596913,1322
C00 fuse,1,high,753,2865.12026966378,3268.02758941013,cell,0.0178271265891711,1322
C00 fuse,1,high,2985,1930.69772888325,2202.20194998738,cell,0.0706692866781884,1322
C00 fuse,1,high,27,5531.68119761723,6309.57344480193,cell,0.000639219678496177,1322
C00 fuse,1,high,123,4251.78630338289,4849.6934285282,cell,0.00291200075759369,1322
C00 fuse,1,high,1929,673.862716803094,768.624610039774,cell,0.0456686948081157,1322
C00 fuse,1,high,2069,2202.20194998738,2511.88643150958,cell,0.0489831672151329,1322
C00 fuse,1,high,917,517.947467923121,590.783791158794,cell,0.0217097942659627,1322
C00 fuse,1,high,194,349.025487895958,398.107170553497,cell,0.00459291176400957,1322
C00 fuse,1,high,434,3268.02758941013,3727.59372031494,cell,0.0102748644617534,1322
C00 fuse,1,high,231,3727.59372031494,4251.78630338289,cell,0.0054688794715784,1322
C00 fuse,1,high,15,158.489319246111,180.776867696343,cell,0.000355122043608987,1322
C00 fuse,1,high,58,4849.6934285282,5531.68119761723,cell,0.00137313856862142,1322
C00 fuse,1,high,13,6309.57344480193,7196.85673001152,cell,0.000307772437794455,1322
C00 fuse,1,high,24,206.198600950222,235.195263507096,cell,0.000568195269774379,1322
C00 fuse,1,high,66,268.269579527973,305.99496872072,cell,0.00156253699187954,1322
C00 fuse,1,high,55,235.195263507096,268.269579527973,cell,0.00130211415989962,1322
C00 fuse,1,high,6,138.949549437314,158.489319246111,cell,0.000142048817443595,1322
C00 fuse,1,high,13,180.776867696343,206.198600950222,cell,0.000307772437794455,1322
C00 fuse,0.5,low,5,106.800043251458,121.818791201012,cell,0.000181402604941407,2019
C00 fuse,0.5,low,5,9363.29208823942,10680.0043251458,cell,0.000181402604941407,2019
